Title,Link,Author,Publish_date
潘玲退休庆典：慈善事业的典范，感恩一路同行,https://fornextgen.org/wp-news/pan_ling_retirement_ceremony/,如梦令,5/18/2024
明日之光”颁奖典礼：激励北美华裔学生服务社区&发展领导力,https://fornextgen.org/wp-news/shine_a_light_award_ceremony_2024/,如梦令,5/11/2024
青出于蓝胜于蓝，明日之光海二代,https://fornextgen.org/wp-news/qing_shengyu_lan/,荣伟,10/3/2022
捐赠竞拍 人间真情,https://fornextgen.org/wp-news/donation_zhenqing/,荣伟,10/6/2022
光荣与梦想—-“美中下一代”的黄埔之路,https://fornextgen.org/wp-news/guangrong_ru_mengxiang/,"杨大巍, 薛倩",9/25/2022
明日之光First Step团队暑期团建小记,https://fornextgen.org/wp-news/firststep_shuqi_tuanjian/,舒 静,9/15/2022
明日之光Open Arms 团队快乐的夏天,https://fornextgen.org/wp-news/openarms_xiatian/,舒 静,9/15/2022
明日之光的学生参加夏季国际领袖培训班,https://fornextgen.org/wp-news/xiaji_guojilingxiu_training/,舒 静,8/22/2022
助力华二代，携手创未来,http://fornextgen.org/wp-news/zhuli_huaerdai/,如梦令,8/23/2022
2022年慈善晚宴启动仪式在fumi成功举办,https://fornextgen.org/wp-news/2022_cishan_wanyan_qidongyishi_fumi_juxing/,如梦令,8/14/2022
2022年慈善晚宴启动仪式在fumi成功举办–视频报道,https://www.youtube.com/watch?app=desktop&v=in0eFyj8jBo,Atlanta Chinese Television,8/6/2022
明日之光First Step：来做志愿者吧！,http://fornextgen.org/wp-news/firststep_volunteer/,舒 静,7/12/2022
明日之光Open Arms 团队一年回顾,https://fornextgen.org/wp-news/openarms_firstyear/,舒 静,7/12/2022
明日之光First Step团队参与Great Strides募捐活动,https://fornextgen.org/wp-news/2022/10/01/firststep_greatstride_donation/,舒 静,7/12/2022
明日之光团队 First Step 食物银行服务体验,https://fornextgen.org/wp-news/firststep_foodbank_donation/,舒 静,5/27/2022
冬天的阳光 – 记明日之光Building Bridges团队的烘焙义卖,https://fornextgen.org/wp-news/buildingbridges_bakesale/,舒 静,1/24/2022
明日之光First Step 团队的2021年,https://fornextgen.org/wp-news/firststep_team2021/,舒 静,1/17/2022
明日之光Open Arms 团队张开双臂欢迎你,https://fornextgen.org/wp-news/openarms_team_welcomeyou/,舒 静,1/13/2022
明日之光Building Bridges团队：建一座连接你我之桥,https://fornextgen.org/wp-news/buildingbridge_buildbridge/,舒 静,12/14/2021
圣诞铃声响起，明日之光First Step 团队延续救世军130年传统,https://fornextgen.org/wp-news/firststep_christmus/,舒 静,12/18/2021
我们的使命，华裔的未来,https://fornextgen.org/wp-news/ourmission_ourfuture/,生活小编-陈 ,10/9/2021
