"id";"title";"description";"street";"city";"state";"postal_code";"country";"lat";"lng";"phone";"fax";"email";"website";"description_2";"logo_id";"marker_id";"is_disabled";"open_hours";"created_on";"updated_on";"ordr";"featured";"brand";"product";"pending";"slug";"custom"
"1";"ARQ Enterprises Inc. Tile & Stone Resources";"not available";"12740 Danielson Ct. Ste. D";"Poway";"CA";"92064";"223";"32.9414599";"-117.0468914";"1-858-486-1212";;;"https://www.hydroblok.com/find-a-dealer/arq-enterprises-inc-tile-stone-resources/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 22:21:13";"0";NULL;NULL;NULL;NULL;"arq-enterprises-inc-tile-stone-resources-poway";NULL
"6";"Daltile Bend";"not available";"545 SE Bridgeford Blvd.";"Bend";"OR";"97702";"223";"44.0453764";"-121.2904147";"541-317-9301";;;"https://www.hydroblok.com/find-a-dealer/daltile-bend/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:52:46";"0";NULL;NULL;NULL;NULL;"daltile-bend-bend";NULL
"7";"Daltile Eugene";"not available";"1471 Railroad Blvd. Unit # 1";"Eugene";"OR";"97402";"223";"44.0627299";"-123.1159002";"541-686-0217";;;"https://www.hydroblok.com/find-a-dealer/daltile-eugene/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:52:13";"0";NULL;NULL;NULL;NULL;"daltile-eugene-eugene";NULL
"8";"Daltile Everett";"not available";"2525 West Casino Rd. Ste 8A";"Everett";"WA";"98204";"223";"47.9201044";"-122.2688532";"425-355-1645";;;"https://www.hydroblok.com/find-a-dealer/daltile-everett/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:42:41";"0";NULL;NULL;NULL;NULL;"daltile-everett-everett";NULL
"9";"Daltile Lakewood";"not available";"4215 95th Street SW - Suite A";"Lakewood";"WA";"98499";"223";"47.1710255";"-122.4931694";"253-581-1130";;;"https://www.hydroblok.com/find-a-dealer/daltile-lakewood/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:49:43";"0";NULL;NULL;NULL;NULL;"daltile-lakewood-lakewood";NULL
"10";"Daltile Las Vegas";"not available";"3455 W. Sunset Rd. Ste. G";"Las Vegas";"NV";"89118";"223";"36.07138";"-115.1862674";"702-361-6873";;;"https://www.hydroblok.com/find-a-dealer/daltile-las-vegas/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 22:31:06";"0";NULL;NULL;NULL;NULL;"daltile-las-vegas-las-vegas";NULL
"11";"Daltile Ontario";"not available";"3624 E. La Salle";"Ontario";"CA";"91761";"223";"34.0513947";"-117.5710199";;;;"https://www.hydroblok.com/find-a-dealer/daltile-ontario/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 22:06:38";"0";NULL;NULL;NULL;NULL;"daltile-ontario-ontario";NULL
"12";"Daltile Palm Desert";"not available";"77-583 El Duna Ct, Ste A";"Palm Desert";"CA";"92211";"223";"33.767608";"-116.3095427";"760-772-1298";;;"https://www.hydroblok.com/find-a-dealer/daltile-palm-desert/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 22:20:32";"0";NULL;NULL;NULL;NULL;"daltile-palm-desert-palm-desert";NULL
"13";"Daltile Portland";"not available";"3240 N.W. 29th Ave.";"Portland";"OR";"97210";"223";"45.5457093";"-122.7103039";"503-236-4585";;;"https://www.hydroblok.com/find-a-dealer/daltile-portland/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:51:43";"0";NULL;NULL;NULL;NULL;"daltile-portland-portland";NULL
"14";"Daltile Redlands";"not available";"2354 W. Lugonia Ave.";"Redlands";"CA";"92374";"223";"34.070681";"-117.238097";"909-796-3466";;;"https://www.hydroblok.com/find-a-dealer/daltile-redlands/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 22:20:10";"0";NULL;NULL;NULL;NULL;"daltile-redlands-redlands";NULL
