"title","address","phone","email"
"ARQ Enterprises Inc. Tile & Stone Resources","12740 Danielson Ct. Ste. D, Poway, CA 92064","1-858-486-1212",""
"Daltile Bend","545 SE Bridgeford Blvd., Bend, OR 97702","541-317-9301",""
"Daltile Eugene","1471 Railroad Blvd. Unit # 1, Eugene, OR 97402","541-686-0217",""
"Daltile Everett","2525 West Casino Rd. Ste 8A, Everett, WA 98204","425-355-1645",""
"Daltile Lakewood","4215 95th Street SW - Suite A, Lakewood, WA 98499","253-581-1130",""
"Daltile Las Vegas","3455 W. Sunset Rd. Ste. G, Las Vegas, NV 89118","702-361-6873",""
"Daltile Ontario","3624 E. La Salle, Ontario, CA 91761","",""
"Daltile Palm Desert","77-583 El Duna Ct, Ste A, Palm Desert, CA 92211","760-772-1298",""
"Daltile Portland","3240 N.W. 29th Ave., Portland, OR 97210","503-236-4585",""
"Daltile Redlands","2354 W. Lugonia Ave., Redlands, CA 92374","909-796-3466",""
"Daltile San Leandro","2311 Merced Street, San Leandro, CA 94577","510-895-9006",""
"Daltile Seattle","540 S. Front St., Seattle, WA 98108","206-762-6620",""
"Daltile Spokane","East 4000 Broadway, Spokane, WA 99202","509-534-0202",""
"Daltile Torrance","18740 Crenshaw Blvd., Torrance, CA 90504","310-323-4632",""
"Daltile Van Nuys","16201 Stagg St., Van Nuys, CA 91406","818-787-3224",""
"HPM Building Supply, Hilo HI","380 Kanoelehua Avenue, Hilo, HI 96720","(808) 935-0875",""
"HPM Building Supply, Kailua-Kona HI","74-5511 Luhia Street, Kailua-Kona, HI 96740","(808) 334-4200",""
"HPM Building Supply, Waimea HI","64-1027 Mamalahoa Highway, Kamuela, HI 96743","(808) 885-6036",""
"Lake Interiors","66 Hwy. 150, Chelan, WA 98816","(509) 682-2301",\N
"Lynden Interiors","2017 Front St, Lynden, WA 98264","360-354-4149",""
"Marazzi Tile & Stone","9020 Activity Road Ste B, San Diego, CA 92126","858.547.8453",""
"Sams Flooring Supplies Abbotsford","#103 30755 Simpson Rd., Abbostford, BC V2T 6X4","604-850-6477",""
"Sams Flooring Supplies Chilliwack","#B 8850 Young Rd., Chilliwack, BC V2P 4P5","604-795-6521",""
"Sams Flooring Supplies Kelowna","#100 1516 Keehn Rd., Kelowna, BC V1X 5T3","250-860-8886",""
"Sams Flooring Supplies Langley","#8 20701 Langley Bypass, Langley, BC V3A 5E8","604-530-2949",""
"Sams Flooring Supplies Surrey","#227 12448 82nd Ave. , Surrey, BC V3W 2E9","604-594-9888",""
"Sams Flooring Supplies Vernon","#2 4601 23rd St., Vernon, BC V1T 4K7","250-260-7075",""
"Seattle Glass Block","6029 238th Street SE, Woodinville, WA 98072","425-483-9977",""
"Sierra Glass Block","8230 Belvedere Ave., Ste. E, Sacramento, CA 95826","916-455-5507",""
"Tile for Less Bothell","19400 Bothell Everett Hwy, Bothell, WA 98012","425-415-6600",""
"Tile for Less Seattle","2440 First Ave. S, Seattle, WA 98134","(206) 489-4504","seattle@tileforlessnw.com"
"Tile for Less Spokane Valley","5414 E. Sprague, Spokane Valley, WA 99212","509.315.5176",""
"Tile Lines","1531 Central Ave S, Kent, WA 98108","253-872-0449",""
"United Tile Portland","3145 NW Yean Ave., Portland, OR 97210","503-231-4959",""
"United Tile Seattle","750 S. Michigan Street, Seattle, WA 98108","425-251-5290",""
"United Tile Spokane","622 East Second, Spokane, WA 99202","509-466-4478",""
"BASSANO BUILDING CENTER (TIMBER MART)","417 - 11th Street Box 368, Bassano, AB T0J 0B0","403-641-4000","bassbuilding@eidnet.org"
"Heart Mountain Home","1659 E Main St, Freeland, WA 98249","360-221-1124",""
"Daltile Anaheim ","1600 S. Page St., Anaheim, CA 92806","714.634.2546",""
"Daltile Sacramento","9971 Horn Road, Sacramento, CA 95827","(916) 364-0741",""
"American Olean / Marazzi Tile & Stone","1955 Davis St, San Leandro, CA 94577","510-394-9800",""
"American Olean / Marazzi Tile & Stone","4935 Southfront Rd, Livermore, CA 94551","925-449-0338",""
"Esta Aqui Tile","2124 Grant Street, Bellingham, WA 98226","(360) 734-7374",""
"Daltile Boise","11510 West Executive Drive, Boise, ID 83713","(208) 375-4466",""
"Emser Tile Boise","12050 West Franklin Road, Boise, ID 83709","(208) 375-2020",""
"American Olean / Marazzi Phoenix","2115 S 11th Ave Suite 170, Phoenix, AZ 85007","(602) 252-5357",""
"American Olean / Marazzi Denver","12435 E 42nd Ave Unit 10, Denver, CO 80239","(303) 375-8253",""
"American Olean / Marazzi Salt Lake City","2922 South 300 West, Salt Lake City, UT 84115","(801) 466-9736",""
"American Olean / Marazzi Anaheim","1340 S State College Blvd., Anaheim, CA 92806","(714) 956-7565",""
"Dal Tile Fairfield CA","2350 S Watney Way, Suite A, Fairfield, CA 94533","(707) 429-4592",""
"SariSand Tile","685 Rio Road West, Charlottesville, VA 22901","434-964-4680",""
"Daltile Honolulu","1200 N Nimitz Hwy, Honolulu, HI 96817","(808) 523-3660",""
"Daltile Chico","206 Meyers St., Chico, CA 95928","(530) 343-6425",""
"Daltile Redding CA","3065 Crossroads Drive, Redding, CA 96003"," (530) 221-8453",""
"Standard Paint and Flooring L.L.C.","149 Easy Way, Wenatchee,  98901","509-663-8574",""
"Emser Tile","5712 1400, S State College Blvd, Anaheim, CA 92806","(714) 778-5777",""
"Northwest Trends","11315 E Montgomery Dr, Spokane Valley, WA 99206","(509) 921-9677",""
"Floor Trader Outlet Spokane","6227 N Division S, Spokane, WA 99208","(509) 309-0673",""
"Mount Vernon Carpet One Floor and Home","400 West Fir Street, Mount Vernon, WA 98273","360-336-6533",""
"Emser Tile - La Vista NE","11941 Centennial Road, Suite 6, La Vista, NE 68128","402-339-8453",""
"Daltile Plymouth Meeting","5105 Campus Dr, Plymouth Meeting, PA 19462","610-825-5381",""
"Weilers Kitchens & Bath Designs","350 Bustleton Pike, Feasterville-Trevose, PA 19053","215-357-9300",""
"Clarks Building & Decorating","417 Westinghouse Dr, Hot Springs National Park, AR 71901","(501) 262-2262",""
"EMCO / Ensuite Windsor","2740 Temple Dr, Windsor, ON N8W 5J5","(519) 948-8131",""
"EMCO","300 Fee St, North Bay, ON P1B 8G5","(705) 476-0701",""
"Showroom Flooring","870 Cliffe Ave, Courtenay, BC V9N 2J7","(250) 871-8453","sales@showroomflooring.ca"
"Daltile Santa Rosa CA","258 Sutton Pl Ste # 101, Santa Rosa, CA 95407","707-588-0842",""
"EMCO Corporation","800 Wilson Rd S #2, Oshawa, Ontario L1H 6E8","(905) 723-1173",""
"Insulation and Supply - Manitowoc","1129 S 41st Street, Manitowoc, WI 54220","1-800-242-7619",""
"Insulation and Supply - Green Bay","3158 Market St, Green Bay, WI 54304","1-800-472-0048",""
"Insulation and Supply - Greenville","N1044 Quality Dr., Greenville, WI 54942","1-800-223-1061",""
"Continental Flooring Installation","1395 Alpha Lake Rd., Whistler, BC V0N 1B1","604-962-8453",""
"Daltile Loveland CO","5741 Earhart Rd, Loveland, CO 80538","970-622-9741",""
"Ceramic Tileworks Center, Omaha, NE","11005 W. Maple Road, Omaha, NE 68164","402-493-1567",""
"Emser Tile, Wichita KS","2333 S West St Suite 301, Wichita, KS 67213","316-943-1441",""
"Signature Interior Expressions, Neosho MO","12650 Hammer Rd, Neosho, MO 64850","417-451-0535",""
"Emser Tile, La Vista NE","11941 Centennial Rd Suite #6, La Vista, NE 68128","402-339-8453",""
"Emser Tile, Little Rock AR","10068 Maumelle Blvd, Little Rock, AR 72113","",""
"Daltile Maryland Heights, MO","2059 Westport Center Dr, Maryland Heights, MO 63146","(314) 997-6970",""
"Daltile Knoxville, TN","1714 Louisville Dr. Ste B, Knoxville, TN, TN 37921-5903","(865) 588-2155",""
"Daltile Burr Ridge, IL","7600 South Grant St., Burr Ridge, IL, IL 60527","(630) 789-1400",""
"Daltile South Bend, IN","3235 Rosetta Place Dr. Ste # 1, South Bend, IN, IN 46628","",""
"Daltile Springdale, AR","373-A Agnes Drive , Springdale, AR, AR 72762-4134","(479) 361-5825",""
"Carolina Tile and Stone, Cornelius, NC","19020 Statesville Rd, Cornelius, NC, NC 28031","(704) 892-2442",""
"Ralph's Floors, Lynden, WA","1842 Front Street, Lynden, WA 98264-1723","(360) 227-8494",""
"Emser Tile","10550 Lackman Rd, Lenexa, KS 66219","(913) 894-4888 ",""
"Mckenna DIstribution","620 Vennels St., Regina, SK S4N5S5","306-359-7755","info@mckdist.com"
"Daltile / Daltile Columbus","730 Dearborn Park Ln, Columbus, OH 43085","(614) 433-9181","Columbus.SSC219@Daltile.com"
"Daltile / Daltile St.Louis","2051 Westport Center Dr, St. Louis, MO 63146","(314) 824-1367","Columbus.SSC219@Daltile.com"
"Gordon Wall Windows & Floors ","801 Victoria St, Trail, BC V1R 3T3","(250) 364-2537",""
"Home Hardware Nelson ","101 Mcdonald Drive, Nelson, BC V1L 6B2","(250) 352-1919",""
"Floor Store Salmon Arm","241  5th St SW, Salmon Arm, BC V1E 1S9","(250) 832-1944",""
"Northern Capital Wood Products","381 McAloney Road, Unit C, Prince George, BC V2K 4L2","(250) 564-6171","ncwpwood@telus.net"
