"title","street","city","state","postal_code","phone","email","website","lat","lng"
"ARQ Enterprises Inc. Tile & Stone Resources","12740 Danielson Ct. Ste. D","Poway","CA","92064","1-858-486-1212","","https://www.hydroblok.com/find-a-dealer/arq-enterprises-inc-tile-stone-resources/","32.941460","-117.0468914"
"Daltile Bend","545 SE Bridgeford Blvd.","Bend","OR","97702","541-317-9301","","https://www.hydroblok.com/find-a-dealer/daltile-bend/","44.045376","-121.2904147"
"Daltile Eugene","1471 Railroad Blvd. Unit # 1","Eugene","OR","97402","541-686-0217","","https://www.hydroblok.com/find-a-dealer/daltile-eugene/","44.062730","-123.1159002"
"Daltile Everett","2525 West Casino Rd. Ste 8A","Everett","WA","98204","425-355-1645","","https://www.hydroblok.com/find-a-dealer/daltile-everett/","47.920104","-122.2688532"
"Daltile Lakewood","4215 95th Street SW - Suite A","Lakewood","WA","98499","253-581-1130","","https://www.hydroblok.com/find-a-dealer/daltile-lakewood/","47.171026","-122.4931694"
"Daltile Las Vegas","3455 W. Sunset Rd. Ste. G","Las Vegas","NV","89118","702-361-6873","","https://www.hydroblok.com/find-a-dealer/daltile-las-vegas/","36.071380","-115.1862674"
"Daltile Ontario","3624 E. La Salle","Ontario","CA","91761","","","https://www.hydroblok.com/find-a-dealer/daltile-ontario/","34.051395","-117.5710199"
"Daltile Palm Desert","77-583 El Duna Ct, Ste A","Palm Desert","CA","92211","760-772-1298","","https://www.hydroblok.com/find-a-dealer/daltile-palm-desert/","33.767608","-116.3095427"
"Daltile Portland","3240 N.W. 29th Ave.","Portland","OR","97210","503-236-4585","","https://www.hydroblok.com/find-a-dealer/daltile-portland/","45.545709","-122.7103039"
"Daltile Redlands","2354 W. Lugonia Ave.","Redlands","CA","92374","909-796-3466","","https://www.hydroblok.com/find-a-dealer/daltile-redlands/","34.070681","-117.238097"
"Daltile San Leandro","2311 Merced Street","San Leandro","CA","94577","510-895-9006","","https://www.hydroblok.com/find-a-dealer/daltile-san-leandro/","37.707001","-122.1704363"
"Daltile Seattle","540 S. Front St.","Seattle","WA","98108","206-762-6620","","https://www.hydroblok.com/find-a-dealer/daltile-seattle/","47.548465","-122.3270445"
"Daltile Spokane","East 4000 Broadway","Spokane","WA","99202","509-534-0202","","https://www.hydroblok.com/find-a-dealer/daltile-spokane/","47.663900","-117.3511104"
"Daltile Torrance","18740 Crenshaw Blvd.","Torrance","CA","90504","310-323-4632","","https://www.hydroblok.com/find-a-dealer/daltile-torrance/","33.860323","-118.3265823"
"Daltile Van Nuys","16201 Stagg St.","Van Nuys","CA","91406","818-787-3224","","https://www.hydroblok.com/find-a-dealer/daltile-van-nuys/","34.213512","-118.4865522"
"HPM Building Supply, Hilo HI","380 Kanoelehua Avenue","Hilo","HI","96720","(808) 935-0875","","https://www.hydroblok.com/find-a-dealer/hpm-building-supply-hilo-home-design-center/","19.717330","-155.0650201"
"HPM Building Supply, Kailua-Kona HI","74-5511 Luhia Street","Kailua-Kona","HI","96740","(808) 334-4200","","https://www.hydroblok.com/find-a-dealer/hpm-building-supply-kona-retail-store-lumberyard/","19.650197","-156.0028914"
"HPM Building Supply, Waimea HI","64-1027 Mamalahoa Highway","Kamuela","HI","96743","(808) 885-6036","","https://www.hydroblok.com/find-a-dealer/hpm-building-supply-waimea-retail-store-lumberyard/","20.024629","-155.6582429"
"Lake Interiors","66 Hwy. 150","Chelan","WA","98816","(509) 682-2301",NULL,"https://lakeinteriorschelan.com","47.833905","-119.9919665"
"Lynden Interiors","2017 Front St","Lynden","WA","98264","360-354-4149","","https://www.hydroblok.com/find-a-dealer/lynden-interiors/","48.938684","-122.4864651"
"Marazzi Tile & Stone","9020 Activity Road Ste B","San Diego","CA","92126","858.547.8453","","https://www.hydroblok.com/find-a-dealer/marazzi-tile-stone/","32.896447","-117.1326091"
"Sams Flooring Supplies Abbotsford","#103 30755 Simpson Rd.","Abbostford","BC","V2T 6X4","604-850-6477","","https://www.hydroblok.com/find-a-dealer/sams-flooring-supplies-abbotsford/","49.046398","-122.3706777"
"Sams Flooring Supplies Chilliwack","#B 8850 Young Rd.","Chilliwack","BC","V2P 4P5","604-795-6521","","https://www.hydroblok.com/find-a-dealer/sams-flooring-supplies-chilliwack/","49.162958","-121.952092"
"Sams Flooring Supplies Kelowna","#100 1516 Keehn Rd.","Kelowna","BC","V1X 5T3","250-860-8886","","https://www.hydroblok.com/find-a-dealer/sams-flooring-supplies-kelowna/","49.891120","-119.4155411"
"Sams Flooring Supplies Langley","#8 20701 Langley Bypass","Langley","BC","V3A 5E8","604-530-2949","","https://www.hydroblok.com/find-a-dealer/sams-flooring-supplies-langley/","49.113239","-122.6490234"
"Sams Flooring Supplies Surrey","#227 12448 82nd Ave. ","Surrey","BC","V3W 2E9","604-594-9888","","https://www.hydroblok.com/find-a-dealer/sams-flooring-supplies-surrey/","49.151042","-122.8778542"
"Sams Flooring Supplies Vernon","#2 4601 23rd St.","Vernon","BC","V1T 4K7","250-260-7075","","https://www.hydroblok.com/find-a-dealer/sams-flooring-supplies-vernon/","50.278827","-119.2609731"
"Seattle Glass Block","6029 238th Street SE","Woodinville","WA","98072","425-483-9977","","https://www.hydroblok.com/find-a-dealer/seattle-glass-block/","47.782837","-122.1528561"
"Sierra Glass Block","8230 Belvedere Ave., Ste. E","Sacramento","CA","95826","916-455-5507","","https://www.hydroblok.com/find-a-dealer/sierra-glass-block/","38.537553","-121.4026111"
"Tile for Less Bothell","19400 Bothell Everett Hwy","Bothell","WA","98012","425-415-6600","","https://www.hydroblok.com/find-a-dealer/tile-for-less-bothell/","47.821464","-122.2079403"
"Tile for Less Seattle","2440 First Ave. S","Seattle","WA","98134","(206) 489-4504","seattle@tileforlessnw.com","https://tileforlessnw.com/","47.580669","-122.3338905"
"Tile for Less Spokane Valley","5414 E. Sprague","Spokane Valley","WA","99212","509.315.5176","","https://www.hydroblok.com/find-a-dealer/tile-for-less-spokane-valley/","47.656549","-117.3316352"
"Tile Lines","1531 Central Ave S","Kent","WA","98108","253-872-0449","","https://www.hydroblok.com/find-a-dealer/tile-lines/","47.365692","-122.2303324"
"United Tile Portland","3145 NW Yean Ave.","Portland","OR","97210","503-231-4959","","https://www.hydroblok.com/find-a-dealer/united-tile-portland/","45.543550","-122.7021864"
"United Tile Seattle","750 S. Michigan Street","Seattle","WA","98108","425-251-5290","","https://www.hydroblok.com/find-a-dealer/united-tile-seattle/","47.547336","-122.3242706"
"United Tile Spokane","622 East Second","Spokane","WA","99202","509-466-4478","","https://www.hydroblok.com/find-a-dealer/united-tile-spokane/","47.654349","-117.4010589"
"BASSANO BUILDING CENTER (TIMBER MART)","417 - 11th Street Box 368","Bassano","AB","T0J 0B0","403-641-4000","bassbuilding@eidnet.org","https://www.timbermart.ca/en/stores/bassano-building-center-ltd","50.789479","-112.4686447"
"Heart Mountain Home","1659 E Main St","Freeland","WA","98249","360-221-1124","","https://www.hydroblok.com/find-a-dealer/heart-mountain-home/","48.009855","-122.525418"
"Daltile Anaheim ","1600 S. Page St.","Anaheim","CA","92806","714.634.2546","","https://www.hydroblok.com/find-a-dealer/daltile-anaheim/","33.808049","-117.8863593"
"Daltile Sacramento","9971 Horn Road","Sacramento","CA","95827","(916) 364-0741","","https://www.hydroblok.com/find-a-dealer/daltile-sacramento/","38.577896","-121.3224925"
"American Olean / Marazzi Tile & Stone","1955 Davis St","San Leandro","CA","94577","510-394-9800","","https://www.hydroblok.com/find-a-dealer/american-olean-marazzi-tile-stone-2/","37.713482","-122.1817556"
